id,name,github_org_url,primary_repo_url,country,category,product_type,maturity,known_rationalization_event,contactability,key_metadata,flag,source_agent,status,screen_note
1,Langfuse,https://github.com/langfuse,https://github.com/langfuse/langfuse,Germany,Startup,LLM Observability,Growth,Unknown (ClickHouse migration partial),High,"YC W23; co-founded 2023 by Clemens Rohler & Marc Klingen",,Agent D,ACTIVE,Kept: 7131 commits; 1747 refactor PRs; Agent E panel feasibility 4; YC-backed with identifiable founders; Germany adds geo diversity
2,Helicone,https://github.com/Helicone,https://github.com/Helicone/helicone,USA,Startup,LLM Observability,Growth,Unknown,High,"YC W23; open-core AI gateway model",,Agent D,ACTIVE,Kept: YC-backed; high contactability; LLM observability is AI-native category directly relevant to paper; rationalization event unconfirmed but unknown not disqualifying
3,Infisical,https://github.com/Infisical,https://github.com/Infisical/infisical,USA,Startup,Secret Management,Growth,"Yes — MongoDB to PostgreSQL migration (documented PRs + blog)",High,"YC W23; Series A; Maidul Islam (CEO) identifiable",,Agent D,ACTIVE,Kept: 23166 commits; 1232 refactor PRs; confirmed and documented rationalization event; Agent E panel feasibility 5; near-ideal treated unit
4,Trigger.dev,https://github.com/triggerdotdev,https://github.com/triggerdotdev/trigger.dev,Ireland,Startup,Workflow Automation,Growth,"Yes — v3 complete rewrite (new runtime, documented changelog)",High,"YC W23; Series A; Matt Aitken (CEO) identifiable",Flag: Ireland HQ,Agent D,ACTIVE,Kept: 7274 commits; 892 refactor + 1625 v3/rewrite PRs; Agent E panel feasibility 5; Ireland adds geo diversity; v3 rewrite is textbook rationalization event
5,Dub.co,https://github.com/dubinc,https://github.com/dubinc/dub,USA,Startup,Link Management,Growth,Unknown,High,"YC S23; Steven Tey (founder); 20k+ stars",,Agent D,ACTIVE,Kept: 24702 commits; Agent E panel feasibility 3; YC-backed; potential control unit if no confirmed event; high contactability
6,Windmill,https://github.com/windmill-labs,https://github.com/windmill-labs/windmill,France,Startup,Internal Tools,Growth,Partial — iterative architectural changes,Medium,"YC S22; 16k+ commits; Ruben Fiszel (solo-ish founder)","Flag: France HQ; small team",Agent D,ACTIVE,Kept with flag: 13287 commits; Agent E panel feasibility 4; France geo diversity; partial event still provides treatment variation; small team size is a research variable
7,Novu,https://github.com/novuhq,https://github.com/novuhq/novu,Israel,Startup,Notification Infrastructure,Growth,"Yes — v2.0 framework rewrite (new inbox/workflows layer)",High,"Crane Venture-backed; v2 rewrite 2024",Flag: Israel HQ,Agent D,ACTIVE,Kept with flag: 21877 commits; Agent E panel feasibility 4; Israel HQ adds geo diversity; v2 rewrite is confirmed rationalization event 2024
8,Plane,https://github.com/makeplane,https://github.com/makeplane/plane,"India/USA",Startup,Project Management,Growth,"Yes — React to Next.js migration (1924 refactor PRs)",Medium,"OSS Capital-backed; India engineering ops",Flag: India ops,Agent D,ACTIVE,Kept with flag: 7022 commits; Agent E panel feasibility 4; India ops adds geo diversity; 1924 refactor PRs is quantitatively strong rationalization signal
9,Documenso,https://github.com/documenso,https://github.com/documenso/documenso,"Germany/USA",Startup,eSignature,Early,Unknown,High,"OSS Capital-backed; single monorepo",,Agent D,ACTIVE,Kept: high contactability; OSS Capital-backed provides institutional anchor; early-stage useful for heterogeneity on maturity dimension; no confirmed event but potential future treatment
10,Formbricks,https://github.com/formbricks,https://github.com/formbricks/formbricks,Germany,Startup,Survey/Feedback,Early,Unknown,High,"GitHub Accelerator cohort; lean team","Flag: Germany; early-stage",Agent D,ACTIVE,Kept with flag: early-stage adds maturity heterogeneity; Germany geo diversity; GitHub Accelerator cohort means some institutional visibility; monitor for future events
